name,salary,salary_clean
Player-0,"$13,545,293.20",13545293.2
Player-1,"$27,642,642.39",27642642.39
Player-2,"$28,806,178.92",28806178.92
Player-3,"$48,396,059.85",48396059.85
Player-4,"$25,222,927.01",25222927.01
Player-5,"$28,012,742.10",28012742.1
Player-6,"$49,533,458.13",49533458.13
Player-7,"$3,837,443.00",3837443.0
Player-8,"$27,366,875.36",27366875.36
Player-9,"$36,096,946.95",36096946.95
Player-10,"$23,246,164.82",23246164.82
Player-11,"$22,912,349.63",22912349.63
Player-12,"$24,402,457.31",24402457.31
Player-13,"$22,299,909.08",22299909.08
Player-14,"$2,440,632.57",2440632.57
Player-15,"$41,907,162.65",41907162.65
Player-16,"$13,135,958.78",13135958.78
Player-17,"$30,982,425.23",30982425.23
Player-18,"$2,430,023.51",2430023.51
Player-19,"$6,456,145.50",6456145.5
Player-20,"$12,339,822.01",12339822.01
Player-21,"$10,819,096.74",10819096.74
Player-22,"$12,380,456.62",12380456.62
Player-23,"$30,622,414.62",30622414.62
Player-24,"$8,427,357.74",8427357.74
Player-25,"$26,376,244.50",26376244.5
Player-26,"$26,589,105.38",26589105.38
Player-27,"$46,323,945.48",46323945.48
Player-28,"$37,645,704.46",37645704.46
Player-29,"$40,917,252.45",40917252.45
Player-30,"$29,460,383.79",29460383.79
Player-31,"$34,934,083.08",34934083.08
Player-32,"$49,624,467.28",49624467.28
Player-33,"$21,784,263.10",21784263.1
Player-34,"$13,195,371.13",13195371.13
Player-35,"$18,436,456.61",18436456.61
Player-36,"$27,840,184.46",27840184.46
Player-37,"$14,056,882.21",14056882.21
Player-38,"$36,602,155.20",36602155.2
Player-39,"$2,614,483.91",2614483.91
Player-40,"$7,149,617.17",7149617.17
Player-41,"$42,851,260.55",42851260.55
Player-42,"$26,317,234.38",26317234.38
Player-43,"$13,066,092.46",13066092.46
Player-44,"$10,493,395.51",10493395.51
Player-45,"$17,808,096.00",17808096.0
Player-46,"$19,544,239.89",19544239.89
Player-47,"$678,029.02",678029.02
Player-48,"$38,961,414.56",38961414.56
Player-49,"$13,792,609.97",13792609.97
Player-50,"$48,339,448.21",48339448.21
Player-51,"$45,203,048.72",45203048.72
Player-52,"$1,814,819.55",1814819.55
Player-53,"$31,296,985.10",31296985.1
Player-54,"$44,470,640.56",44470640.56
Player-55,"$33,191,296.73",33191296.73
Player-56,"$10,087,069.68",10087069.68
Player-57,"$23,022,942.57",23022942.57
Player-58,"$17,586,792.55",17586792.55
Player-59,"$45,744,679.78",45744679.78
Player-60,"$48,730,031.62",48730031.62
Player-61,"$275,028.29",275028.29
Player-62,"$29,842,971.74",29842971.74
Player-63,"$7,773,670.00",7773670.0
Player-64,"$36,374,383.32",36374383.32
Player-65,"$32,691,930.49",32691930.49
Player-66,"$11,197,178.72",11197178.72
Player-67,"$35,307,225.25",35307225.25
Player-68,"$11,380,565.75",11380565.75
Player-69,"$31,098,568.13",31098568.13
Player-70,"$48,455,229.36",48455229.36
Player-71,"$32,184,884.96",32184884.96
Player-72,"$707,660.78",707660.78
Player-73,"$23,389,766.95",23389766.95
Player-74,"$1,954,422.42",1954422.42
Player-75,"$13,031,361.51",13031361.51
Player-76,"$26,653,057.13",26653057.13
Player-77,"$22,674,984.47",22674984.47
Player-78,"$40,408,986.04",40408986.04
Player-79,"$3,435,444.33",3435444.33
Player-80,"$14,990,096.40",14990096.4
Player-81,"$44,608,809.20",44608809.2
Player-82,"$25,732,727.53",25732727.53
Player-83,"$27,189,109.08",27189109.08
Player-84,"$18,370,066.35",18370066.35
Player-85,"$21,049,107.52",21049107.52
Player-86,"$41,810,361.47",41810361.47
Player-87,"$18,587,319.28",18587319.28
Player-88,"$46,426,404.77",46426404.77
Player-89,"$42,516,594.40",42516594.4
Player-90,"$28,930,596.80",28930596.8
Player-91,"$18,959,308.49",18959308.49
Player-92,"$46,431,741.36",46431741.36
Player-93,"$31,186,579.06",31186579.06
Player-94,"$14,017,700.46",14017700.46
Player-95,"$20,087,805.84",20087805.84
Player-96,"$42,102,111.27",42102111.27
Player-97,"$30,638,276.46",30638276.46
Player-98,"$44,649,023.41",44649023.41
Player-99,"$30,132,636.66",30132636.66
Player-100,"$33,768,387.29",33768387.29
Player-101,"$43,360,941.18",43360941.18
Player-102,"$38,244,110.89",38244110.89
Player-103,"$2,923,480.30",2923480.3
Player-104,"$9,916,669.36",9916669.36
Player-105,"$43,832,070.51",43832070.51
Player-106,"$47,293,078.32",47293078.32
Player-107,"$26,818,269.82",26818269.82
Player-108,"$31,470,428.47",31470428.47
Player-109,"$17,618,865.61",17618865.61
Player-110,"$47,066,651.96",47066651.96
Player-111,"$26,224,349.15",26224349.15
Player-112,"$4,891,347.96",4891347.96
Player-113,"$7,163,415.09",7163415.09
Player-114,"$15,886,030.87",15886030.87
Player-115,"$42,158,642.10",42158642.1
Player-116,"$48,178,222.20",48178222.2
Player-117,"$7,456,766.74",7456766.74
Player-118,"$18,868,827.03",18868827.03
Player-119,"$19,159,250.90",19159250.9
Player-120,"$13,022,109.08",13022109.08
Player-121,"$5,264,630.11",5264630.11
Player-122,"$8,232,444.58",8232444.58
Player-123,"$6,793,785.15",6793785.15
Player-124,"$30,452,034.33",30452034.33
Player-125,"$48,349,118.75",48349118.75
Player-126,"$9,653,374.32",9653374.32
Player-127,"$5,617,312.98",5617312.98
Player-128,"$21,863,995.05",21863995.05
Player-129,"$11,312,650.44",11312650.44
Player-130,"$44,957,657.68",44957657.68
Player-131,"$46,514,600.44",46514600.44
Player-132,"$23,348,799.45",23348799.45
Player-133,"$32,911,488.39",32911488.39
Player-134,"$49,351,533.10",49351533.1
Player-135,"$22,183,482.27",22183482.27
Player-136,"$38,557,912.72",38557912.72
Player-137,"$25,068,069.87",25068069.87
Player-138,"$17,387,890.39",17387890.39
Player-139,"$25,664,142.66",25664142.66
Player-140,"$12,254,946.54",12254946.54
Player-141,"$40,873,164.17",40873164.17
Player-142,"$4,808,897.97",4808897.97
Player-143,"$39,174,124.69",39174124.69
Player-144,"$28,162,113.54",28162113.54
Player-145,"$36,365,912.59",36365912.59
Player-146,"$8,234,717.89",8234717.89
Player-147,"$37,269,727.55",37269727.55
Player-148,"$18,530,608.24",18530608.24
Player-149,"$29,404,128.14",29404128.14
Player-150,"$43,858,465.21",43858465.21
Player-151,"$10,744,423.71",10744423.71
Player-152,"$36,261,984.63",36261984.63
Player-153,"$10,130,032.70",10130032.7
Player-154,"$1,666,130.53",1666130.53
Player-155,"$14,125,104.69",14125104.69
Player-156,"$23,347,020.01",23347020.01
Player-157,"$728,922.76",728922.76
Player-158,"$13,130,621.05",13130621.05
